STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2014,,10.73
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2016,,15.55
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2018,,21.56
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2020,,32.35
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2021,,40.61
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC,Buy cloud computing services used over the internet,PC_ENT,Percentage of enterprises,DE,Germany,2023,,45.97
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_B,"Enterprises buying only basic CC services, at least one of: CC_PEM, CC_PSOFT, CC_PFIL, CC_PCPU",PC_ENT,Percentage of enterprises,DE,Germany,2021,,6.7
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_B,"Enterprises buying only basic CC services, at least one of: CC_PEM, CC_PSOFT, CC_PFIL, CC_PCPU",PC_ENT,Percentage of enterprises,DE,Germany,2023,,7.21
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2021,,5.11
dataflow,ESTAT:ISOC_CICCE_USE$DEFAULTVIEW(1.0),Cloud computing services by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_CC1_I,"Enterprises buying at most  intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM",PC_ENT,Percentage of enterprises,DE,Germany,2023,,6.81
