STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,ind_type,Individual type,indic_is,Information society indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2014,,20.94
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2015,,23.08
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2016,,21.96
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2017,,26.74
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2018,,28.36
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2019,,30.96
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CC,"Used internet storage space to save documents, pictures, music, video or other files",DE,Germany,2020,,35.45
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_CC,"Used internet storage space when sharing documents, pictures or other files electronically",DE,Germany,2014,,13.11
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_EM,"Used e-mails with attached files when sharing documents, pictures or other files electronically",DE,Germany,2014,,40.9
dataflow,ESTAT:ISOC_CICCI_USE$DEFAULTVIEW(1.0),Individuals - use of cloud services (2014-2020),A,Annual,PC_IND,Percentage of individuals,IND_TOTAL,All individuals,I_CCS_OTH,"Used other means not using internet when sharing documents, pictures or other files electronically",DE,Germany,2014,,22.84
