Country or Area,Year,Value
Germany,2023,92.4764
Germany,2022,91.6298
Germany,2021,91.4306
Germany,2020,89.8129
Germany,2019,88.1345
Germany,2018,87.0371
Germany,2017,84.3942
Germany,2016,84.1652
Germany,2015,87.5898
Germany,2014,86.1937
Germany,2013,84.17
Germany,2012,82.35
Germany,2011,81.27
Germany,2010,82.0
Germany,2009,79.0
Germany,2008,78.0
Germany,2007,75.16
Germany,2006,72.16
Germany,2005,68.71
Germany,2004,64.73
Germany,2003,55.9
Germany,2002,48.82
Germany,2001,31.6509
Germany,2000,30.2163
Germany,1999,20.846
Germany,1998,9.87785
Germany,1997,6.71109
Germany,1996,3.05481
Germany,1995,1.83774
Germany,1994,0.922541
Germany,1993,0.463635
Germany,1992,0.435285
Germany,1991,0.250274
Germany,1990,0.125892
Ireland,2022,95.5905
Ireland,2021,94.456
Ireland,2020,91.9999
Ireland,2019,87.0001
Ireland,2018,87.0001
Ireland,2017,84.114
Ireland,2016,83.5
Ireland,2015,83.4948
Ireland,2014,83.4917
Ireland,2013,78.2477
Ireland,2012,76.92
Ireland,2011,74.89
Ireland,2010,69.85
Ireland,2009,67.38
Ireland,2008,65.34
Ireland,2007,61.1583
Ireland,2006,54.82
Ireland,2005,41.61
Ireland,2004,36.99
Ireland,2003,34.31
Ireland,2002,25.85
Ireland,2001,23.1388
Ireland,2000,17.8505
Ireland,1999,10.9338
Ireland,1998,8.09601
Ireland,1997,4.08826
Ireland,1996,2.1993
Ireland,1995,1.10839
Ireland,1994,0.558377
Ireland,1993,0.281141
Ireland,1992,0.169686
Ireland,1991,0.056796
Ireland,1990,0.0
Switzerland,2022,96.8046
Switzerland,2021,95.5694
Switzerland,2020,94.3499
Switzerland,2019,93.1461
Switzerland,2018,91.8
Switzerland,2017,89.6861
Switzerland,2016,89.1347
Switzerland,2015,87.4791
Switzerland,2014,83.6173
Switzerland,2013,86.34
Switzerland,2012,85.2
Switzerland,2011,85.193
Switzerland,2010,83.9
Switzerland,2009,81.3
Switzerland,2008,79.2
Switzerland,2007,77.2
Switzerland,2006,75.7
Switzerland,2005,70.1
Switzerland,2004,67.8
Switzerland,2003,65.1
Switzerland,2002,61.4
Switzerland,2001,55.1
Switzerland,2000,47.1
Switzerland,1999,34.0
Switzerland,1998,24.8
Switzerland,1997,15.1
Switzerland,1996,4.54966
Switzerland,1995,3.55201
Switzerland,1994,2.72
Switzerland,1993,2.16727
Switzerland,1992,1.75171
Switzerland,1991,1.17996
Switzerland,1990,0.595714
