STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,offer,Type of offer,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2019,28.07
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2020,35.02
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2021,22.77
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2022,21.37
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200,Fixed internet 100-200 Mbps,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2023,26.43
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2019,33.41
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2020,37.3
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2021,25.43
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2022,26.75
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_P,Package - fixed internet 100-200 Mbps with fixed phone,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2023,26.8
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2019,40.82
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2020,43.94
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2021,29.9
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2022,31.24
dataflow,ESTAT:ISOC_PBO$DEFAULTVIEW(1.0),Mobile and fixed broadband internet prices by type of offer (least expensive),A,Annual,FI_MBPS100-200_PTV,Package - fixed internet 100-200 Mbps with fixed phone and TV,PPP_EUR,Purchasing power parities (PPP) in euro,DE,Germany,2023,34.25
