STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,inet_spd,Internet speed,terrtypo,Territorial typology,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,DE,Germany,2019,,34.1
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,DE,Germany,2020,,55.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,DE,Germany,2021,,62.1
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,DE,Germany,2022,,68.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,DE,Germany,2023,,73.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,GBPS_GT1,More than 1 gigabit per second (Gbps),TOTAL,Total,DE,Germany,2024,,76.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2015,,63.5
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2016,,64.9
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2017,,65.4
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2018,,66.3
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2019,,81.8
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2020,,85.7
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2021,,89.6
dataflow,ESTAT:ISOC_CBS$DEFAULTVIEW(1.0),Broadband internet coverage by speed,A,Annual,PC_HH,Percentage of households,MBPS_GT100,More than 100 megabits per second (Mbps),TOTAL,Total,DE,Germany,2022,,91.0
