STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2011,,6.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2012,,7.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2013,,9.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2014,,12.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2015,,17.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2016,,26.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2017,,36.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2018,,43.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2019,,60.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2020,,81.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2021,,100.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2022,,121.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2023,,132.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,EB,Exabyte,DE,Germany,2024,,149.0
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,DE,Germany,2011,,220.126
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,DE,Germany,2012,,250.387
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,DE,Germany,2013,,314.224
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,DE,Germany,2014,,405.778
dataflow,ESTAT:ISOC_TF(1.0),Fixed broadband internet traffic,A,Annual,GB_SUBSC,Gigabyte per subscription,DE,Germany,2015,,553.612
